,loss,mse,val_loss,val_mse
0,5.194118976593018,5.194118976593018,3.4385623931884766,3.4385623931884766
1,4.5508646965026855,4.5508646965026855,3.4685182571411133,3.4685182571411133
2,4.543180465698242,4.543180465698242,4.141353607177734,4.141353607177734
3,4.431515693664551,4.431515693664551,3.2981011867523193,3.2981011867523193
4,4.389622688293457,4.389622688293457,3.427182674407959,3.427182674407959
5,4.345040321350098,4.345040321350098,3.325622797012329,3.325622797012329
6,4.329784393310547,4.329784393310547,3.405015468597412,3.405015468597412
7,4.322356700897217,4.322356700897217,3.3613922595977783,3.3613922595977783
8,4.308904647827148,4.308904647827148,3.4191508293151855,3.4191508293151855
9,4.289342880249023,4.289342880249023,3.3784406185150146,3.3784406185150146
10,4.273159980773926,4.273159980773926,3.2596821784973145,3.2596821784973145
11,4.275818347930908,4.275818347930908,3.2965879440307617,3.2965879440307617
12,4.291737079620361,4.291737079620361,3.3747119903564453,3.3747119903564453
13,4.278309345245361,4.278309345245361,3.2817599773406982,3.2817599773406982
14,4.271631240844727,4.271631240844727,3.5437657833099365,3.5437657833099365
15,4.284299850463867,4.284299850463867,3.345186471939087,3.345186471939087
16,4.2974677085876465,4.2974677085876465,3.3680970668792725,3.3680970668792725
17,4.221932888031006,4.221932888031006,3.1541810035705566,3.1541810035705566
18,4.175673007965088,4.175673007965088,3.1712470054626465,3.1712470054626465
19,4.162851333618164,4.162851333618164,3.1976816654205322,3.1976816654205322
20,4.186201095581055,4.186201095581055,3.3020212650299072,3.3020212650299072
21,4.238284587860107,4.238284587860107,3.302813768386841,3.302813768386841
22,4.244424819946289,4.244424819946289,3.5287816524505615,3.5287816524505615
23,4.2317633628845215,4.2317633628845215,3.3197357654571533,3.3197357654571533
24,4.231855392456055,4.231855392456055,3.1969406604766846,3.1969406604766846
25,4.226698398590088,4.226698398590088,3.4051830768585205,3.4051830768585205
26,4.232391357421875,4.232391357421875,3.4247560501098633,3.4247560501098633
27,4.246502876281738,4.246502876281738,3.276019334793091,3.276019334793091
