YearMonthDayHourMinute,STN,UV
202206010000,13,0.04702665552013724
202206010000,105,0.04702665552013724
202206010000,108,0.04702665552013724
202206010000,112,0.04702665552013724
202206010000,115,0.04702665552013724
202206010000,131,0.04702665552013724
202206010000,132,0.04702665552013724
202206010000,133,0.04702665552013724
202206010000,138,0.04702665552013724
202206010000,143,0.04702665552013724
202206010000,146,0.04702665552013724
202206010000,152,0.04702665552013724
202206010000,156,0.04702665552013724
202206010000,159,0.04702665552013724
202206010000,165,0.04702665552013724
202206010010,13,0.04702665552013724
202206010010,105,0.04702665552013724
202206010010,108,0.04702665552013724
202206010010,112,0.04702665552013724
202206010010,115,0.04702665552013724
202206010010,131,0.04702665552013724
202206010010,132,0.04702665552013724
202206010010,133,0.04702665552013724
202206010010,138,0.04702665552013724
202206010010,143,0.04702665552013724
202206010010,146,0.04702665552013724
202206010010,152,0.04702665552013724
202206010010,156,0.04702665552013724
202206010010,159,0.04702665552013724
202206010010,165,0.04702665552013724
202206010020,13,0.04702665552013724
202206010020,105,0.04702665552013724
202206010020,108,0.04702665552013724
202206010020,112,0.04702665552013724
202206010020,115,0.04702665552013724
202206010020,131,0.04702665552013724
202206010020,132,0.04702665552013724
202206010020,133,0.04702665552013724
202206010020,138,0.04702665552013724
202206010020,143,0.04702665552013724
202206010020,146,0.04702665552013724
202206010020,152,0.04702665552013724
202206010020,156,0.04702665552013724
202206010020,159,0.04702665552013724
202206010020,165,0.04702665552013724
202206010030,13,0.04702665552013724
202206010030,105,0.04702665552013724
202206010030,108,0.04702665552013724
202206010030,112,0.04702665552013724
202206010030,115,0.04702665552013724
202206010030,131,0.04702665552013724
202206010030,132,0.04702665552013724
202206010030,133,0.04702665552013724
202206010030,138,0.04702665552013724
202206010030,143,0.04702665552013724
202206010030,146,0.04702665552013724
202206010030,152,0.04702665552013724
202206010030,156,0.04702665552013724
202206010030,159,0.04702665552013724
202206010030,165,0.04702665552013724
202206010040,13,0.04702665552013724
202206010040,105,0.04702665552013724
