,loss,mse,val_loss,val_mse
0,3.9915101528167725,3.9915101528167725,2.99249529838562,2.99249529838562
1,3.9557042121887207,3.9557042121887207,2.9392685890197754,2.9392685890197754
2,3.9218056201934814,3.9218056201934814,2.8876278400421143,2.8876278400421143
3,3.8960654735565186,3.8960654735565186,2.99051570892334,2.99051570892334
4,3.871201753616333,3.871201753616333,3.1108803749084473,3.1108803749084473
5,3.8651020526885986,3.8651020526885986,2.9759273529052734,2.9759273529052734
6,3.854893922805786,3.854893922805786,2.953047752380371,2.953047752380371
7,3.8490989208221436,3.8490989208221436,2.8400275707244873,2.8400275707244873
8,3.8516533374786377,3.8516533374786377,2.849189281463623,2.849189281463623
9,3.8511734008789062,3.8511734008789062,2.9473814964294434,2.9473814964294434
10,3.82304310798645,3.82304310798645,2.7125368118286133,2.7125368118286133
11,3.774010181427002,3.774010181427002,2.7289350032806396,2.7289350032806396
12,3.7549707889556885,3.7549707889556885,2.7128121852874756,2.7128121852874756
13,3.76008677482605,3.76008677482605,2.6241631507873535,2.6241631507873535
14,3.739466667175293,3.739466667175293,2.6949715614318848,2.6949715614318848
15,3.7397663593292236,3.7397663593292236,2.6782493591308594,2.6782493591308594
16,3.7403969764709473,3.7403969764709473,2.6909637451171875,2.6909637451171875
17,3.7493014335632324,3.7493014335632324,2.709681272506714,2.709681272506714
18,3.7485427856445312,3.7485427856445312,2.691378593444824,2.691378593444824
19,3.7426042556762695,3.7426042556762695,2.731475353240967,2.731475353240967
20,3.7427070140838623,3.7427070140838623,2.939091920852661,2.939091920852661
21,3.729522466659546,3.729522466659546,2.8900575637817383,2.8900575637817383
22,3.7306981086730957,3.7306981086730957,2.7984728813171387,2.7984728813171387
23,3.737072706222534,3.737072706222534,2.6893200874328613,2.6893200874328613
24,3.733372688293457,3.733372688293457,2.674185276031494,2.674185276031494
25,3.7389538288116455,3.7389538288116455,2.6870059967041016,2.6870059967041016
26,3.744313955307007,3.744313955307007,2.7685070037841797,2.7685070037841797
27,3.7315099239349365,3.7315099239349365,2.9513792991638184,2.9513792991638184
28,3.7504987716674805,3.7504987716674805,2.7029881477355957,2.7029881477355957
29,3.7191712856292725,3.7191712856292725,2.6980342864990234,2.6980342864990234
30,3.7165887355804443,3.7165887355804443,2.677290439605713,2.677290439605713
31,3.7215030193328857,3.7215030193328857,2.6590096950531006,2.6590096950531006
32,3.7105276584625244,3.7105276584625244,2.782644033432007,2.782644033432007
33,3.709580421447754,3.709580421447754,2.8745486736297607,2.8745486736297607
34,3.68430233001709,3.68430233001709,2.6097123622894287,2.6097123622894287
35,3.6815242767333984,3.6815242767333984,2.8105971813201904,2.8105971813201904
36,3.6694867610931396,3.6694867610931396,2.671841621398926,2.671841621398926
37,3.6644203662872314,3.6644203662872314,2.7669756412506104,2.7669756412506104
38,3.6609718799591064,3.6609718799591064,2.6605076789855957,2.6605076789855957
39,3.6546006202697754,3.6546006202697754,2.5849342346191406,2.5849342346191406
40,3.654733657836914,3.654733657836914,2.6397552490234375,2.6397552490234375
41,3.666619300842285,3.666619300842285,2.8208634853363037,2.8208634853363037
42,3.6503853797912598,3.6503853797912598,2.7336666584014893,2.7336666584014893
