일자,smart_farm.insolation,smart_farm.out_tmperature,smart_farm.out_humidity,smart_farm.wind_speed,smart_farm.wind_direction,smart_farm.in_tmperature,smart_farm.in_humidity,smart_farm.shield_light_h,smart_farm.shield_tmperature_h,smart_farm.shield_energy_h,smart_farm.shield_energy_v,smart_farm.exhaust_fan,smart_farm.ceiling,smart_farm.floating_fan,smart_farm.fan_coil_b_site,smart_farm.ventilation_temperature_control,smart_farm.heating_temperature_set_up,smart_farm.heat_supply,5CM 정시 지중온도(°C),10CM 정시 지중온도(°C),20CM 정시 지중온도(°C),30CM 정시 지중온도(°C),0.5M 정시 지중온도(°C),1.0M 정시 지중온도(°C),10CM 정시 토양수분(%),20CM 정시 토양수분(%),30CM 정시 토양수분(%),50CM 정시 토양수분(%)
2021-11-26 0:00,-3.221666667,4.953333333,70.38333333,0.165,229.55,18.12333333,61.92833333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,28.0,18.0,46.8,5.3,5.8,6.3,11.0,12.2,16.1,11.2,7.9,4.0,5.0
2021-11-26 1:00,-3.326666667,3.186666667,78.03333333,0.00666666667,270.2,18.08833333,60.09333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.65,28.0,18.0,48.7,4.5,5.1,5.7,10.9,12.2,16.1,11.1,7.8,4.0,5.0
2021-11-26 2:00,-3.553333333,2.303333333,81.9,0.0266666667,260.5,18.065,59.03,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.683333333,28.0,18.0,45.0,3.8,4.4,5.1,10.8,12.2,16.1,11.0,7.8,4.0,5.0
2021-11-26 3:00,-3.753333333,1.593333333,83.41666667,0.0416666667,248.2666667,18.06166667,58.215,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,28.0,18.0,46.0,3.3,3.9,4.6,10.6,12.2,16.0,10.9,7.8,4.0,5.0
2021-11-26 4:00,-3.736666667,1.841666667,80.51666667,0.166666667,266.85,18.14035088,57.30877193,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.771929825,28.0,18.0,31.0,3.0,3.5,4.2,10.4,12.2,16.0,10.8,7.8,3.9,5.0
2021-11-26 5:00,-3.951666667,1.468333333,79.75,0.0683333333,245.2333333,17.77,57.63,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,28.0,18.17,40.5,2.8,3.3,3.9,10.3,12.2,16.1,10.8,7.8,3.9,5.0
2021-11-26 6:00,-3.475,1.865,78.31666667,0.145,244.2666667,18.77333333,54.96333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,27.925,19.08333333,27.5,2.8,3.1,3.7,10.1,12.1,16.0,10.7,7.7,3.9,5.0
2021-11-26 7:00,31.98833333,2.73,73.81666667,0.508333333,247.4,19.705,55.18666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,27.0,20.08333333,30.4,2.7,3.1,3.5,10.0,12.1,16.0,10.6,7.7,3.9,5.0
2021-11-26 8:00,195.5,7.115,55.75,2.095,320.7666667,20.93333333,59.66833333,46.5,57.93333333,0.0,5.416666667,0.0,0.0,1.0,0.466666667,27.0,20.575,13.1,2.4,2.8,3.3,9.7,11.9,15.9,10.6,7.7,3.9,5.0
2021-11-26 9:00,369.8333333,8.425,46.06666667,2.151666667,294.3166667,23.67666667,61.41666667,100.0,100.0,15.96666667,99.61666667,0.0,5.6,1.0,0.0,27.0,20.0,6.0,3.2,3.0,3.4,9.5,11.9,15.9,10.6,7.7,3.9,5.0
2021-11-26 10:00,510.4333333,10.14333333,36.1,2.263333333,275.5833333,25.70666667,44.245,100.0,100.0,100.0,100.0,0.516666667,29.05,0.75,0.0,28.60333333,20.0,6.0,4.7,4.3,3.9,9.4,11.9,15.9,10.6,7.7,3.9,5.0
2021-11-26 11:00,585.1333333,11.02833333,30.73333333,2.211666667,286.7166667,27.13333333,36.33166667,100.0,100.0,100.0,100.0,0.616666667,25.41666667,0.983333333,0.0,30.0,20.0,6.0,6.7,6.3,5.1,9.3,11.8,15.9,10.8,7.7,3.9,5.0
2021-11-26 12:00,600.6666667,12.325,25.23333333,2.608333333,270.0666667,27.41833333,38.83333333,100.0,100.0,100.0,100.0,0.716666667,27.6,0.95,0.0,30.0,20.0,6.0,8.8,8.4,6.7,9.3,11.8,15.9,10.9,7.7,3.9,5.0
2021-11-26 13:00,553.9,13.23166667,21.15,3.078333333,295.4666667,27.34333333,37.515,100.0,100.0,100.0,100.0,0.983333333,54.16666667,1.0,0.0,30.0,20.0,6.0,10.9,10.4,8.4,9.3,11.7,15.9,11.0,7.8,3.9,5.0
2021-11-26 14:00,441.8,13.68166667,19.93333333,2.601666667,291.2,27.03023256,41.30697674,100.0,100.0,100.0,100.0,1.0,58.76744186,0.837209302,0.0,30.0,20.0,4.6,12.4,12.0,9.8,9.5,11.7,15.9,11.2,7.8,3.9,5.0
2021-11-26 15:00,277.8833333,13.75,20.23333333,3.318333333,299.8166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1,12.8,10.8,9.8,11.7,16.0,11.2,7.8,3.9,5.0
2021-11-26 16:00,84.53333333,13.065,22.73333333,1.82,287.2666667,22.95932203,57.12542373,99.05084746,100.0,11.84745763,74.3220339,0.169491525,5.389830508,0.949152542,0.0,29.23220339,19.8779661,0.0,12.7,12.5,11.0,10.0,11.7,16.0,11.3,7.8,3.9,5.0
2021-11-26 17:00,-0.645,11.69666667,27.26666667,1.053333333,263.3,18.98666667,71.00666667,12.8,100.0,0.0,0.0,0.0,0.0,0.966666667,0.133333333,27.25666667,18.45,39.1,11.3,11.2,10.4,10.2,11.7,15.9,11.3,7.8,3.9,5.0
2021-11-26 18:00,-3.746666667,9.206666667,37.51666667,1.165,221.8666667,16.97,72.99,0.0,43.46666667,0.0,0.0,0.0,0.0,1.0,0.0333333333,28.0,16.45,10.6,9.2,9.5,9.4,10.5,11.7,15.9,11.3,7.8,3.9,5.0
2021-11-26 19:00,-3.723333333,6.966666667,47.85,0.381666667,117.65,15.25333333,74.05333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.366666667,28.0,15.05,45.9,7.4,8.0,8.4,10.7,11.8,15.9,11.4,7.8,3.9,5.0
2021-11-26 20:00,-2.958333333,5.763333333,53.41666667,0.208333333,110.2333333,15.63333333,70.25333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,28.0,15.6,70.4,6.1,6.8,7.4,10.8,11.8,16.0,11.4,7.8,3.9,5.0
2021-11-26 21:00,-3.57,4.27,60.23333333,0.28,63.91666667,17.19,64.67666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.95,28.0,17.475,47.3,5.0,5.7,6.5,10.7,11.8,15.9,11.3,7.8,3.9,5.0
2021-11-26 22:00,-3.47,3.131666667,67.35,0.08,33.0,17.82333333,61.97166667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.85,28.0,18.0,31.0,4.2,4.9,5.7,10.6,11.8,15.9,11.2,7.8,3.9,5.0
2021-11-26 23:00,-3.435,2.275,73.56666667,0.171666667,118.45,17.76666667,60.58166667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.916666667,28.0,18.0,38.1,3.6,4.3,5.0,10.5,11.8,15.9,11.1,7.8,3.9,5.0
2021-11-27 0:00,-3.525,1.418333333,76.98333333,0.0816666667,173.7,17.75666667,59.695,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.866666667,28.0,18.0,40.2,3.2,3.8,4.6,10.4,11.9,15.9,10.9,7.8,3.9,5.0
2021-11-27 1:00,-3.636666667,0.833333333,80.06666667,0.101666667,121.15,17.77166667,58.42166667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.95,28.0,18.0,43.7,2.8,3.4,4.1,10.2,11.8,15.8,10.8,7.8,3.9,5.0
2021-11-27 2:00,-3.863333333,0.44,81.2,0.108333333,211.7666667,17.685,57.95833333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.95,28.0,18.0,40.0,2.5,3.2,3.8,10.1,11.8,15.9,10.8,7.7,3.9,5.0
2021-11-27 3:00,-4.035,0.035,82.03333333,0.218333333,238.2333333,17.82166667,57.17333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.95,28.0,18.0,35.7,2.3,2.8,3.4,9.9,11.8,15.8,10.7,7.7,3.9,5.0
2021-11-27 4:00,-3.963333333,-0.641666667,86.88333333,0.101666667,33.18333333,17.70333333,56.69666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,28.0,18.0,28.1,2.1,2.7,3.2,9.8,11.8,15.9,10.6,7.7,3.9,5.0
2021-11-27 5:00,-4.093333333,-1.035,87.28333333,0.173333333,252.0166667,17.78333333,56.12833333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,28.0,18.17,33.5,1.9,2.4,3.0,9.6,11.7,15.9,10.6,7.6,3.9,5.0
2021-11-27 6:00,-4.075,-1.276666667,87.38333333,0.103333333,334.9166667,18.88166667,53.21,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,27.93666667,19.08333333,30.1,1.7,2.2,2.8,9.4,11.6,15.8,10.5,7.6,3.9,5.0
